Date,Open Price
5-Jan-15,3
6-Jan-15,3
7-Jan-15,3
8-Jan-15,3
9-Jan-15,3
12-Jan-15,3
13-Jan-15,3
14-Jan-15,3
15-Jan-15,3
16-Jan-15,3
19-Jan-15,3
20-Jan-15,3
21-Jan-15,3
22-Jan-15,3
23-Jan-15,3
27-Jan-15,3
28-Jan-15,3
29-Jan-15,3
30-Jan-15,3
2-Feb-15,3
3-Feb-15,3
4-Feb-15,3
5-Feb-15,3
6-Feb-15,3
9-Feb-15,3
10-Feb-15,3
11-Feb-15,3
12-Feb-15,3
13-Feb-15,3
16-Feb-15,3
18-Feb-15,3
19-Feb-15,3
20-Feb-15,3
23-Feb-15,3
24-Feb-15,3
25-Feb-15,3
26-Feb-15,3
27-Feb-15,3
28-Feb-15,3
2-Mar-15,3
3-Mar-15,3
4-Mar-15,3
5-Mar-15,3
9-Mar-15,3
10-Mar-15,3
11-Mar-15,3
12-Mar-15,3
13-Mar-15,3
16-Mar-15,3
17-Mar-15,3
18-Mar-15,3
19-Mar-15,3
20-Mar-15,3
23-Mar-15,3
24-Mar-15,3
25-Mar-15,3
26-Mar-15,3
27-Mar-15,3
30-Mar-15,3
31-Mar-15,3
1-Apr-15,3
6-Apr-15,3
7-Apr-15,3
8-Apr-15,3
9-Apr-15,3
10-Apr-15,3
13-Apr-15,3
15-Apr-15,3
16-Apr-15,3
17-Apr-15,3
20-Apr-15,3
21-Apr-15,3
22-Apr-15,3
23-Apr-15,3
24-Apr-15,3
27-Apr-15,3
28-Apr-15,3
29-Apr-15,3
30-Apr-15,3
4-May-15,3
5-May-15,3
6-May-15,3
7-May-15,3
8-May-15,3
11-May-15,3
12-May-15,3
13-May-15,3
14-May-15,3
15-May-15,3
18-May-15,3
19-May-15,3
20-May-15,3
21-May-15,3
22-May-15,3
25-May-15,3
26-May-15,3
27-May-15,3
28-May-15,3
29-May-15,3
1-Jun-15,3
2-Jun-15,3
3-Jun-15,3
4-Jun-15,3
5-Jun-15,3
8-Jun-15,3
9-Jun-15,3
10-Jun-15,3
11-Jun-15,3
12-Jun-15,3
15-Jun-15,3
16-Jun-15,3
17-Jun-15,3
18-Jun-15,3
19-Jun-15,3
22-Jun-15,3
23-Jun-15,3
24-Jun-15,3
25-Jun-15,3
26-Jun-15,3
29-Jun-15,3
30-Jun-15,3
1-Jul-15,3
2-Jul-15,3
3-Jul-15,3
6-Jul-15,3
7-Jul-15,3
8-Jul-15,3
9-Jul-15,3
10-Jul-15,3
13-Jul-15,3
14-Jul-15,3
15-Jul-15,3
16-Jul-15,3
17-Jul-15,3
20-Jul-15,3
21-Jul-15,3
22-Jul-15,3
23-Jul-15,3
24-Jul-15,3
27-Jul-15,3
28-Jul-15,3
29-Jul-15,3
30-Jul-15,3
31-Jul-15,3
3-Aug-15,3
4-Aug-15,3
5-Aug-15,3
6-Aug-15,3
7-Aug-15,3
10-Aug-15,3
11-Aug-15,3
12-Aug-15,3
13-Aug-15,3
14-Aug-15,3
17-Aug-15,3
18-Aug-15,3
19-Aug-15,3
20-Aug-15,3
21-Aug-15,3
24-Aug-15,3
25-Aug-15,3
26-Aug-15,3
27-Aug-15,3
28-Aug-15,3
31-Aug-15,3
1-Sep-15,3
2-Sep-15,3
3-Sep-15,3
4-Sep-15,3
7-Sep-15,3
8-Sep-15,3
9-Sep-15,3
10-Sep-15,3
11-Sep-15,3
14-Sep-15,3
15-Sep-15,3
16-Sep-15,3
18-Sep-15,3
21-Sep-15,3
22-Sep-15,3
23-Sep-15,3
24-Sep-15,3
28-Sep-15,3
29-Sep-15,3
30-Sep-15,3
1-Oct-15,3
5-Oct-15,3
6-Oct-15,3
7-Oct-15,3
8-Oct-15,3
9-Oct-15,3
12-Oct-15,3
13-Oct-15,3
14-Oct-15,3
15-Oct-15,3
16-Oct-15,3
19-Oct-15,3
20-Oct-15,3
21-Oct-15,3
23-Oct-15,3
26-Oct-15,3
27-Oct-15,3
28-Oct-15,3
29-Oct-15,3
30-Oct-15,3
2-Nov-15,3
3-Nov-15,3
4-Nov-15,3
5-Nov-15,3
6-Nov-15,3
9-Nov-15,3
10-Nov-15,3
11-Nov-15,3
13-Nov-15,3
16-Nov-15,3
17-Nov-15,3
18-Nov-15,3
19-Nov-15,3
20-Nov-15,3
23-Nov-15,3
24-Nov-15,3
26-Nov-15,3
27-Nov-15,3
30-Nov-15,3
1-Dec-15,3
2-Dec-15,3
3-Dec-15,3
4-Dec-15,3
7-Dec-15,3
8-Dec-15,3
9-Dec-15,3
10-Dec-15,3
11-Dec-15,3
14-Dec-15,3
15-Dec-15,3
16-Dec-15,3
17-Dec-15,3
18-Dec-15,3
21-Dec-15,3
22-Dec-15,3
23-Dec-15,3
24-Dec-15,3
28-Dec-15,3
29-Dec-15,3
30-Dec-15,3
31-Dec-15,3
2-Jan-17,3
3-Jan-17,3
4-Jan-17,3
5-Jan-17,3
6-Jan-17,3
9-Jan-17,3
10-Jan-17,3
11-Jan-17,3
12-Jan-17,3
13-Jan-17,3
16-Jan-17,3
17-Jan-17,3
18-Jan-17,3
19-Jan-17,3
20-Jan-17,3
23-Jan-17,3
24-Jan-17,3
25-Jan-17,3
27-Jan-17,3
30-Jan-17,3
31-Jan-17,3
1-Feb-17,3
2-Feb-17,3
3-Feb-17,3
6-Feb-17,3
7-Feb-17,3
8-Feb-17,3
9-Feb-17,3
10-Feb-17,3
13-Feb-17,3
14-Feb-17,3
15-Feb-17,3
16-Feb-17,3
17-Feb-17,3
20-Feb-17,3
21-Feb-17,3
22-Feb-17,3
23-Feb-17,3
27-Feb-17,3
28-Feb-17,3
1-Mar-17,3
2-Mar-17,3
3-Mar-17,3
6-Mar-17,3
7-Mar-17,3
8-Mar-17,3
9-Mar-17,3
10-Mar-17,3
14-Mar-17,3
15-Mar-17,3
16-Mar-17,3
17-Mar-17,3
20-Mar-17,3
21-Mar-17,3
22-Mar-17,3
23-Mar-17,3
24-Mar-17,3
27-Mar-17,3
28-Mar-17,3
29-Mar-17,3
30-Mar-17,3
31-Mar-17,3
3-Apr-17,3
5-Apr-17,3
6-Apr-17,3
7-Apr-17,3
10-Apr-17,3
11-Apr-17,3
12-Apr-17,3
13-Apr-17,3
17-Apr-17,3
18-Apr-17,3
19-Apr-17,3
20-Apr-17,3
21-Apr-17,3
24-Apr-17,3
25-Apr-17,3
26-Apr-17,3
27-Apr-17,3
28-Apr-17,3
2-May-17,3
3-May-17,3
4-May-17,3
5-May-17,3
8-May-17,3
9-May-17,3
10-May-17,3
11-May-17,3
12-May-17,3
15-May-17,3
16-May-17,3
17-May-17,3
18-May-17,3
19-May-17,3
22-May-17,3
23-May-17,3
24-May-17,3
25-May-17,3
26-May-17,3
29-May-17,3
30-May-17,3
31-May-17,3
1-Jun-17,3
2-Jun-17,3
5-Jun-17,3
6-Jun-17,3
7-Jun-17,3
8-Jun-17,3
9-Jun-17,3
12-Jun-17,3
13-Jun-17,3
14-Jun-17,3
15-Jun-17,3
16-Jun-17,3
19-Jun-17,3
20-Jun-17,3
21-Jun-17,3
22-Jun-17,3
23-Jun-17,3
27-Jun-17,3
28-Jun-17,3
29-Jun-17,3
30-Jun-17,3
3-Jul-17,3
4-Jul-17,3
5-Jul-17,3
6-Jul-17,3
7-Jul-17,3
10-Jul-17,3
11-Jul-17,3
12-Jul-17,3
13-Jul-17,3
14-Jul-17,3
17-Jul-17,3
18-Jul-17,3
19-Jul-17,3
20-Jul-17,3
21-Jul-17,3
24-Jul-17,3
25-Jul-17,3
26-Jul-17,3
27-Jul-17,3
28-Jul-17,3
31-Jul-17,3
1-Aug-17,3
2-Aug-17,3
3-Aug-17,3
4-Aug-17,3
7-Aug-17,3
8-Aug-17,3
9-Aug-17,3
10-Aug-17,3
11-Aug-17,3
14-Aug-17,3
16-Aug-17,3
17-Aug-17,3
18-Aug-17,3
21-Aug-17,3
22-Aug-17,3
23-Aug-17,3
24-Aug-17,3
28-Aug-17,3
29-Aug-17,3
30-Aug-17,3
31-Aug-17,3
1-Sep-17,3
4-Sep-17,3
5-Sep-17,3
6-Sep-17,3
7-Sep-17,3
8-Sep-17,3
11-Sep-17,3
12-Sep-17,3
13-Sep-17,3
14-Sep-17,3
15-Sep-17,3
18-Sep-17,3
19-Sep-17,3
20-Sep-17,3
21-Sep-17,3
22-Sep-17,3
25-Sep-17,3
26-Sep-17,3
27-Sep-17,3
28-Sep-17,3
29-Sep-17,3
3-Oct-17,3
4-Oct-17,3
5-Oct-17,3
6-Oct-17,3
9-Oct-17,3
10-Oct-17,3
11-Oct-17,3
12-Oct-17,3
13-Oct-17,3
16-Oct-17,3
17-Oct-17,3
18-Oct-17,3
19-Oct-17,3
23-Oct-17,3
24-Oct-17,3
25-Oct-17,3
26-Oct-17,3
27-Oct-17,3
30-Oct-17,3
31-Oct-17,3
1-Nov-17,3
2-Nov-17,3
3-Nov-17,3
6-Nov-17,3
7-Nov-17,3
8-Nov-17,3
9-Nov-17,3
10-Nov-17,3
13-Nov-17,3
14-Nov-17,3
15-Nov-17,3
16-Nov-17,3
17-Nov-17,3
20-Nov-17,3
21-Nov-17,3
22-Nov-17,3
23-Nov-17,3
24-Nov-17,3
27-Nov-17,3
28-Nov-17,3
29-Nov-17,3
30-Nov-17,3
1-Dec-17,3
4-Dec-17,3
5-Dec-17,3
6-Dec-17,3
7-Dec-17,3
8-Dec-17,3
11-Dec-17,3
12-Dec-17,3
13-Dec-17,3
14-Dec-17,3
15-Dec-17,3
18-Dec-17,3
19-Dec-17,3
20-Dec-17,3
21-Dec-17,3
22-Dec-17,3
26-Dec-17,3
27-Dec-17,3
28-Dec-17,3
29-Dec-17,3
1-Jan-18,3
2-Jan-18,3
3-Jan-18,3
4-Jan-18,3
5-Jan-18,3
8-Jan-18,3
9-Jan-18,3
10-Jan-18,3
11-Jan-18,3
12-Jan-18,3
15-Jan-18,3
16-Jan-18,3
17-Jan-18,3
18-Jan-18,3
19-Jan-18,3
22-Jan-18,3
23-Jan-18,3
24-Jan-18,3
25-Jan-18,3
29-Jan-18,3
30-Jan-18,3
31-Jan-18,3
1-Feb-18,3
2-Feb-18,3
5-Feb-18,3
6-Feb-18,3
7-Feb-18,3
8-Feb-18,3
9-Feb-18,3
12-Feb-18,3
14-Feb-18,3
15-Feb-18,3
16-Feb-18,3
19-Feb-18,3
20-Feb-18,3
21-Feb-18,3
22-Feb-18,3
23-Feb-18,3
26-Feb-18,3
27-Feb-18,3
28-Feb-18,3
1-Mar-18,3
5-Mar-18,3
6-Mar-18,3
7-Mar-18,3
8-Mar-18,3
9-Mar-18,3
12-Mar-18,3
13-Mar-18,3
14-Mar-18,3
15-Mar-18,3
16-Mar-18,3
19-Mar-18,3
20-Mar-18,3
21-Mar-18,3
22-Mar-18,3
23-Mar-18,3
26-Mar-18,3
27-Mar-18,3
28-Mar-18,3
2-Apr-18,3
3-Apr-18,3
4-Apr-18,3
5-Apr-18,3
6-Apr-18,3
9-Apr-18,3
10-Apr-18,3
11-Apr-18,3
12-Apr-18,3
13-Apr-18,3
16-Apr-18,3
17-Apr-18,3
18-Apr-18,3
19-Apr-18,3
20-Apr-18,3
23-Apr-18,3
24-Apr-18,3
25-Apr-18,3
26-Apr-18,3
27-Apr-18,3
30-Apr-18,3
2-May-18,3
3-May-18,3
4-May-18,3
7-May-18,3
8-May-18,3
9-May-18,3
10-May-18,3
11-May-18,3
14-May-18,3
15-May-18,3
16-May-18,3
17-May-18,3
18-May-18,3
21-May-18,3
22-May-18,3
23-May-18,3
24-May-18,3
25-May-18,3
28-May-18,3
29-May-18,3
30-May-18,3
31-May-18,3
1-Jun-18,3
4-Jun-18,3
5-Jun-18,3
6-Jun-18,3
7-Jun-18,3
8-Jun-18,3
11-Jun-18,3
12-Jun-18,3
13-Jun-18,3
14-Jun-18,3
15-Jun-18,3
18-Jun-18,3
19-Jun-18,3
20-Jun-18,3
21-Jun-18,3
22-Jun-18,3
25-Jun-18,3
26-Jun-18,3
